-71.480436,41.671690
-71.480626,41.671498
-71.480822,41.671311
-71.481017,41.671127
-71.481216,41.670947
-71.481417,41.670773
-71.481621,41.670604
-71.481830,41.670440
-71.482041,41.670280
-71.482254,41.670127
-71.482469,41.669981
-71.482694,41.669843
-71.482928,41.669711
-71.483170,41.669585
-71.483415,41.669465
-71.483667,41.669351
-71.483926,41.669246
-71.484192,41.669148
-71.484465,41.669055
-71.484742,41.668967
-71.485023,41.668889
-71.485309,41.668821
-71.485600,41.668757
-71.485893,41.668695
-71.486186,41.668633
-71.486480,41.668570
-71.486775,41.668506
-71.487070,41.668442
-71.487366,41.668377
-71.487658,41.668313
-71.487950,41.668251
-71.488238,41.668189
-71.488524,41.668127
-71.488808,41.668065
-71.489089,41.668005
-71.489369,41.667944
-71.489649,41.667884
-71.489929,41.667823
-71.490210,41.667762
-71.490492,41.667702
-71.490776,41.667640
-71.491062,41.667580
-71.491349,41.667519
-71.491635,41.667458
-71.491923,41.667398
-71.492209,41.667339
-71.492486,41.667281
-71.492757,41.667225
-71.493026,41.667171
-71.493290,41.667120
-71.493553,41.667071
-71.493814,41.667022
-71.494077,41.666977
-71.494341,41.666935
-71.494605,41.666896
-71.494871,41.666861
-71.495142,41.666831
-71.495414,41.666805
-71.495689,41.666783
-71.495966,41.666765
-71.496245,41.666752
-71.496527,41.666742
-71.496810,41.666734
-71.497090,41.666727
-71.497368,41.666723
-71.497642,41.666717
-71.497914,41.666711
-71.498184,41.666705
-71.498456,41.666699
-71.498732,41.666692
-71.499010,41.666686
-71.499292,41.666680
-71.499578,41.666674
-71.499867,41.666667
-71.500160,41.666660
-71.500457,41.666652
-71.500756,41.666644
-71.501060,41.666637
-71.501366,41.666629
-71.501675,41.666621
-71.501985,41.666613
-71.502298,41.666604
-71.502612,41.666597
-71.502927,41.666590
-71.503245,41.666583
-71.503563,41.666576
-71.503882,41.666569
-71.504200,41.666561
-71.504519,41.666552
-71.504838,41.666544
-71.505158,41.666534
-71.505478,41.666523
-71.505799,41.666515
-71.506120,41.666507
-71.506441,41.666499
-71.506765,41.666489
-71.507090,41.666480
-71.507419,41.666472
-71.507751,41.666463
-71.508085,41.666455
-71.508422,41.666445
-71.508760,41.666436
-71.509100,41.666426
-71.509441,41.666415
-71.509783,41.666402
-71.510126,41.666387
-71.510471,41.666368
-71.510816,41.666343
-71.511161,41.666313
-71.511505,41.666279
-71.511849,41.666238
-71.512192,41.666193
-71.512535,41.666144
-71.512876,41.666091
-71.513214,41.666033
-71.513549,41.665969
-71.513881,41.665899
-71.514209,41.665826
-71.514533,41.665750
-71.514852,41.665669
-71.515168,41.665583
-71.515481,41.665493
-71.515792,41.665400
-71.516101,41.665303
-71.516407,41.665201
-71.516711,41.665095
-71.517014,41.664986
-71.517312,41.664874
-71.517610,41.664759
-71.517906,41.664644
-71.518203,41.664530
-71.518500,41.664418
-71.518797,41.664305
-71.519092,41.664192
-71.519387,41.664080
-71.519681,41.663967
-71.519975,41.663855
-71.520268,41.663742
-71.520562,41.663630
-71.520857,41.663519
-71.521154,41.663406
-71.521453,41.663294
-71.521754,41.663181
-71.522056,41.663067
-71.522359,41.662951
-71.522665,41.662833
-71.522973,41.662713
-71.523284,41.662591
-71.523597,41.662470
-71.523914,41.662351
-71.524231,41.662230
-71.524551,41.662108
-71.524870,41.661987
-71.525187,41.661866
-71.525505,41.661747
-71.525824,41.661628
-71.526145,41.661510
-71.526467,41.661393
-71.526792,41.661280
-71.527119,41.661171
-71.527447,41.661065
-71.527776,41.660961
-71.528109,41.660862
-71.528445,41.660767
-71.528781,41.660674
-71.529120,41.660586
-71.529458,41.660500
-71.529796,41.660417
-71.530135,41.660336
-71.530476,41.660260
-71.530819,41.660189
-71.531162,41.660120
-71.531504,41.660054
-71.531845,41.659991
-71.532187,41.659932
-71.532528,41.659875
-71.532869,41.659822
-71.533210,41.659772
-71.533552,41.659727
-71.533894,41.659685
-71.534236,41.659646
-71.534577,41.659611
-71.534919,41.659579
-71.535260,41.659551
-71.535601,41.659525
-71.535942,41.659503
-71.536283,41.659486
-71.536624,41.659472
-71.536963,41.659458
-71.537300,41.659449
-71.537637,41.659444
-71.537971,41.659440
-71.538304,41.659438
-71.538635,41.659438
-71.538966,41.659439
-71.539295,41.659440
-71.539625,41.659441
-71.539953,41.659442
-71.540280,41.659442
-71.540606,41.659441
-71.540931,41.659441
-71.541257,41.659440
-71.541581,41.659439
-71.541906,41.659438
-71.542231,41.659437
-71.542558,41.659438
-71.542885,41.659437
-71.543215,41.659436
-71.543547,41.659435
-71.543880,41.659433
-71.544213,41.659431
-71.544547,41.659431
-71.544884,41.659431
-71.545224,41.659431
-71.545567,41.659432
-71.545913,41.659432
-71.546262,41.659433
-71.546616,41.659434
-71.546972,41.659437
-71.547332,41.659437
-71.547693,41.659436
-71.548055,41.659433
-71.548412,41.659433
-71.548768,41.659433
-71.549123,41.659430
-71.549478,41.659427
-71.549835,41.659425
-71.550193,41.659423
-71.550552,41.659422
-71.550913,41.659422
-71.551274,41.659421
-71.551637,41.659417
-71.552002,41.659413
-71.552367,41.659402
-71.552731,41.659386
-71.553089,41.659369
-71.553445,41.659351
-71.553801,41.659330
-71.554155,41.659305
-71.554509,41.659275
-71.554861,41.659241
-71.555213,41.659204
-71.555562,41.659163
-71.555908,41.659119
-71.556250,41.659072
-71.556590,41.659023
-71.556930,41.658971
-71.557270,41.658914
-71.557610,41.658853
-71.557949,41.658789
-71.558286,41.658721
-71.558623,41.658651
-71.558960,41.658580
-71.559295,41.658505
